Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Team Id,Team Name,Custom field (Vulnerability),Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Integrate Pricing Endpoint with User Interface,QUIC-145,10535,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:51 AM,11/Aug/25 11:04 AM,,,10/Jul/25 12:00 AM,0,"Integrate the newly created pricing endpoint with the customer app interface, ensuring users can easily access and view the delivery price.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000xz:,QUIC Sprint 1,,1.0,,,,,,10178,QUIC-16,Pricing endpoint,In Progress,11/Aug/25 11:04 AM
Implement Pricing Endpoint Logic,QUIC-144,10533,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Divine Idehen,712020:15e3613c-e48a-436e-be9f-95fcc39a42c4,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:49 AM,11/Aug/25 11:04 AM,,,10/Jul/25 12:00 AM,0,"Develop the backend logic for the pricing endpoint to calculate and return the delivery price based on various factors such as distance, package weight, and delivery type.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000xr:,QUIC Sprint 1,,2.0,,,,,,10178,QUIC-16,Pricing endpoint,In Progress,11/Aug/25 11:04 AM
Design Pricing Endpoint API,QUIC-143,10531,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Divine Idehen,712020:15e3613c-e48a-436e-be9f-95fcc39a42c4,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:48 AM,11/Aug/25 11:04 AM,,,08/Jul/25 12:00 AM,0,"h2. Summary

Design the API for the pricing endpoint. This API will return the delivery price to users. It needs to be secure and scalable.

h2. Context

The pricing endpoint is essential for providing users with accurate delivery pricing. It is important that the API adheres to best practices.

h2. Acceptance criteria

* The API must return the delivery price to users.
* The API should be secure.
* The API must be scalable.
* The API should follow best practices.

h2. Other information

N/A",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000xj:,QUIC Sprint 1,,2.0,,,,,,10178,QUIC-16,Pricing endpoint,In Progress,11/Aug/25 11:04 AM
Test Vehicle Type Interface,QUIC-142,10529,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:44 AM,11/Aug/25 11:04 AM,,,,0,"As a QA engineer, I want to test the vehicle type interface to ensure it displays the correct list of vehicles and allows selection based on package, so that customers have a seamless experience.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000x5:,QUIC Sprint 1,,,,,,,,10176,QUIC-15,Vehicle type endpoint,In Progress,11/Aug/25 11:04 AM
Implement Vehicle Selection Logic,QUIC-141,10527,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:43 AM,10/Jul/25 8:17 PM,,,10/Jul/25 12:00 AM,0,"h2. Summary

Implement the logic for vehicle selection. This will enable customers to choose a vehicle from a list for their delivery requests.

h2. Context

This feature is aimed at improving the customer experience during the delivery request process. It allows customers to select their preferred vehicle.

h2. Acceptance criteria

* Customers can view a list of available vehicles.
* Customers can select a vehicle from the list.
* The selected vehicle is confirmed for the delivery request.

h2. Other information

N/A",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000x3:,QUIC Sprint 1,,1.0,,,,,,10176,QUIC-15,Vehicle type endpoint,In Progress,10/Jul/25 8:17 PM
Integrate Vehicle Selection with Package Options,QUIC-140,10525,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:42 AM,11/Aug/25 11:04 AM,,,10/Jul/25 12:00 AM,0,"h2. Summary

Integrate the vehicle selection feature with package options. This will allow customers to choose a vehicle that fits their package requirements.

h2. Context

The integration aims to enhance the customer experience by providing a seamless way to select vehicles based on their chosen packages.

h2. Acceptance criteria

* Vehicle selection must be linked to package options.
* Customers should see only the vehicles that match their selected package.

h2. Other information

N/A",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000x7:,QUIC Sprint 1,,1.0,,,,,,10176,QUIC-15,Vehicle type endpoint,In Progress,11/Aug/25 11:04 AM
Develop Backend API for Vehicle List,QUIC-139,10523,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Divine Idehen,712020:15e3613c-e48a-436e-be9f-95fcc39a42c4,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:40 AM,11/Aug/25 11:04 AM,11/Aug/25 11:04 AM,,07/Jul/25 12:00 AM,0,"h2. Summary

Develop a backend API to provide a list of available vehicles for the frontend interface.

h2. Context

This API will allow the frontend to display vehicle information to customers.

h2. Acceptance criteria

* Create a backend API.
* The API should return a list of available vehicles.

h2. Other information

N/A",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000wn:,QUIC Sprint 1,,,,,,,,10176,QUIC-15,Vehicle type endpoint,In Progress,11/Aug/25 11:04 AM
Test weight category functionality,QUIC-138,10521,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:36 AM,11/Aug/25 11:06 AM,,,09/Jul/25 12:00 AM,0,"As a QA engineer, I want to test the weight category functionality in the rider app, so that I can ensure it works correctly and meets the acceptance criteria.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000wf:,QUIC Sprint 1,,,,,,,,10174,QUIC-14,Package weight category,In Progress,11/Aug/25 11:06 AM
Integrate weight categories into rider app,QUIC-137,10519,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:35 AM,11/Aug/25 11:06 AM,,,08/Jul/25 12:00 AM,0,"As a developer, I want to integrate the defined weight categories into the rider app, so that users can use them to determine the appropriate vehicle type for package pickup.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000w7:,QUIC Sprint 1,,1.0,,,,,,10174,QUIC-14,Package weight category,In Progress,11/Aug/25 11:06 AM
Test map view functionality,QUIC-136,10517,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:30 AM,11/Aug/25 11:02 AM,11/Aug/25 11:02 AM,,07/Jul/25 12:00 AM,0,"As a tester, I want to test the map view functionality, so that I can ensure it meets the acceptance criteria and works as expected.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000vz:,QUIC Sprint 1,,,,,,,,10172,QUIC-13,Map view functionality ,In Progress,11/Aug/25 11:02 AM
Develop user interface for map view,QUIC-135,10515,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:29 AM,11/Aug/25 11:04 AM,,,,0,"As a user, I want to see a user-friendly interface for the map view, so that i can easily interact with the map to view locations.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000w1:,QUIC Sprint 1,,,,,,,,10172,QUIC-13,Map view functionality ,In Progress,10/Jul/25 8:15 PM
Implement location markers on the map,QUIC-134,10513,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:28 AM,11/Aug/25 11:04 AM,,,07/Jul/25 12:00 AM,0,"As a user, I want to see markers for delivery and pickup locations on the map, so that I can easily identify them.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000w4:,QUIC Sprint 1,,3.0,,,,,,10172,QUIC-13,Map view functionality ,In Progress,10/Jul/25 8:15 PM
Integrate map API for location rendering,QUIC-133,10511,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:27 AM,11/Aug/25 11:01 AM,,,07/Jul/25 12:00 AM,0,"As a user, I want to see a map Summary

Integrate a map API to render delivery and pickup locations on the map for users.

h2. Context

The integration of a map API will enhance user experience by providing visual representation of delivery and pickup locations.

h2. Acceptance criteria

* A map API must be integrated.
* Delivery locations should be clearly marked on the map.
* Pickup locations should also be clearly marked on the map.

h2. Other information

N/A, so that I can render delivery and pickup locations on the map.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000vb:,QUIC Sprint 1,,2.0,,,,,,10172,QUIC-13,Map view functionality ,In Progress,11/Aug/25 11:01 AM
Implement map view for pickup locations,QUIC-132,10509,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:25 AM,11/Aug/25 11:04 AM,,,04/Jul/25 12:00 AM,0,"As a user, I want to view pickup locations on a map, so that I can visually confirm the pickup point.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000w5:,QUIC Sprint 1,,,,,,,,10172,QUIC-13,Map view functionality ,In Progress,10/Jul/25 8:15 PM
Implement map view for delivery locations,QUIC-131,10507,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:24 AM,11/Aug/25 11:03 AM,,,04/Jul/25 12:00 AM,0,"As a user, I want to view delivery locations on a map, so that I can visually confirm the delivery destination.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000w3:,QUIC Sprint 1,,,,,,,,10172,QUIC-13,Map view functionality ,In Progress,10/Jul/25 8:15 PM
Update User Account with Verified Email,QUIC-130,10505,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Divine Idehen,712020:15e3613c-e48a-436e-be9f-95fcc39a42c4,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:16 AM,11/Aug/25 11:01 AM,,,02/Jul/25 12:00 AM,0,"Once the email is verified, update the user's account to reflect the verified email address.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000un:,QUIC Sprint 1,,,,,,,,10487,QUIC-121,Add Email address functionality,In Progress,11/Aug/25 11:01 AM
Verify Confirmation Code,QUIC-129,10503,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:15 AM,10/Jul/25 8:13 PM,,,02/Jul/25 12:00 AM,0,Implement the process for users to enter the confirmation code received via email to verify their email address.,,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000uf:,QUIC Sprint 1,,,,,,,,10487,QUIC-121,Add Email address functionality,In Progress,10/Jul/25 8:13 PM
Send Confirmation Code to Email,QUIC-128,10501,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Divine Idehen,712020:15e3613c-e48a-436e-be9f-95fcc39a42c4,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:15 AM,11/Aug/25 11:01 AM,,,02/Jul/25 12:00 AM,0,Develop the functionality to send a confirmation code to the user's email address after it is added to their account.,,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000u7:,QUIC Sprint 1,,,,,,,,10487,QUIC-121,Add Email address functionality,In Progress,11/Aug/25 11:01 AM
Validate Email Address Format,QUIC-127,10499,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Etomu Gbenga Joshua,61fd566649fc43006952e766,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:14 AM,10/Jul/25 8:13 PM,,,02/Jul/25 12:00 AM,0,Implement validation logic to ensure the email address entered by the user is in the correct format.,,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000tz:,QUIC Sprint 1,,1.0,,,,,,10487,QUIC-121,Add Email address functionality,In Progress,10/Jul/25 8:13 PM
Develop Account Deletion API Endpoint,QUIC-126,10497,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Divine Idehen,712020:15e3613c-e48a-436e-be9f-95fcc39a42c4,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:08 AM,04/Jul/25 3:27 AM,,,,0,Create an API endpoint that facilitates the account deletion process. Ensure it is secure and handles requests efficiently.,,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000tr:,QUIC Sprint 1,,,,,,,,10485,QUIC-120,Delete Account functionality ,In Progress,04/Jul/25 3:27 AM
Test Account Deletion Functionality,QUIC-125,10495,Subtask,Done,QUIC,QuickFleet,software,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,Medium,,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,Odenbridge Technologies,712020:08cab4df-fe21-466a-9645-f20eaeb11349,01/Jul/25 11:06 AM,11/Aug/25 11:00 AM,11/Aug/25 10:59 AM,,04/Jul/25 12:00 AM,0,"Conduct thorough testing of the account deletion feature to ensure it works as expected. This includes testing the user interface, backend logic, and API endpoint.",,Odenbridge Technologies,,,712020:08cab4df-fe21-466a-9645-f20eaeb11349,,,,,,,,,,,{},,0|i000tj:,QUIC Sprint 1,,,,,,,,10485,QUIC-120,Delete Account functionality ,In Progress,11/Aug/25 11:00 AM
